bnf_id,expected_openiti_uri,matched_uris,threshold,best_score,found_correct,num_false_positives,search_time_ms
OAI_11000947,0874IbnTaghribirdi.NujumZahira,0274AhmadBarqi.Mahasin|0320IbnMuhammadBayhaqi.Mahasin|0385Daraqutni.FawaidMuntaqatDhuhli|0607IbnTabarzad.JuzShurut|0711IbnIbrahimCimadDinWasiti.Rihla|0845Maqrizi.Rasail|0874IbnTaghribirdi.NujumZahira|0944IbnDaybac.NashrMahasin|1061NajmDinGhazzi.KawakibSaira|1299MuhammadCulayshMaliki.FathCali|1331JurjiZaydan.AhmadIbnTulun|1331JurjiZaydan.HajjajIbnYusuf|1332IbnMuhammadJamalDinQasimi.MahasinTawil|1374AhmadZakiAbuShadi.MinSama|1377MuhammadCabdAllahDarraz.Din|1412YusufIdris.AkhirDunya|1423TharwatAbaza.KhuyutSama|1450ZahraSami.SanicNujum,0.7,100.00,True,17,1119.2
OAI_11000947,0874IbnTaghribirdi.NujumZahira,0274AhmadBarqi.Mahasin|0320IbnMuhammadBayhaqi.Mahasin|0385Daraqutni.FawaidMuntaqatDhuhli|0874IbnTaghribirdi.NujumZahira|1331JurjiZaydan.AhmadIbnTulun|1374AhmadZakiAbuShadi.MinSama|1377MuhammadCabdAllahDarraz.Din|1412YusufIdris.AkhirDunya,0.75,100.00,True,7,1153.9
OAI_11000947,0874IbnTaghribirdi.NujumZahira,0274AhmadBarqi.Mahasin|0320IbnMuhammadBayhaqi.Mahasin|0385Daraqutni.FawaidMuntaqatDhuhli|0874IbnTaghribirdi.NujumZahira|1374AhmadZakiAbuShadi.MinSama|1377MuhammadCabdAllahDarraz.Din,0.8,100.00,True,5,1128.2
OAI_11000947,0874IbnTaghribirdi.NujumZahira,0274AhmadBarqi.Mahasin|0320IbnMuhammadBayhaqi.Mahasin|0874IbnTaghribirdi.NujumZahira|1377MuhammadCabdAllahDarraz.Din,0.85,100.00,True,3,1113.9
OAI_11000947,0874IbnTaghribirdi.NujumZahira,0274AhmadBarqi.Mahasin|0320IbnMuhammadBayhaqi.Mahasin|1377MuhammadCabdAllahDarraz.Din,0.9,100.00,False,3,1084.0
OAI_11000949,0911Suyuti.HusnMuhadara,0292IbnCaliMarwazi.MusnadAbiBakr|0365IbnFaqihHamadhani.Buldan|0388IbnHasanHatimi.HilyatMuhadara|0451IbnCushariHanbali.FadailAbiBakr|0728IbnTaymiyya.FadlAbiBakr|0808IbnCimadDinShihabDinAqfahsi.AkhbarNilMisr|0911Suyuti.HusnMuhadara|0926ZakariyyaAnsari.FathRahman|0928MujirDinCulaymi.FathRahman|0957ShihabDinRamli.FathRahman|1320NuriTabarsi.NafsRahman|1328MuhammadJawadBalaghi.AlaRahman|1331JurjiZaydan.CabdRahmanNasir|1331JurjiZaydan.SharlWaCabdRahman|1377MuhammadCabdAllahDarraz.Din|1383CabbasMahmudCaqqad.CabdRahmanKawakibi,0.7,100.00,True,15,753.0
OAI_11000949,0911Suyuti.HusnMuhadara,0388IbnHasanHatimi.HilyatMuhadara|0728IbnTaymiyya.FadlAbiBakr|0808IbnCimadDinShihabDinAqfahsi.AkhbarNilMisr|0911Suyuti.HusnMuhadara|1328MuhammadJawadBalaghi.AlaRahman|1331JurjiZaydan.CabdRahmanNasir|1377MuhammadCabdAllahDarraz.Din,0.75,100.00,True,6,735.1
OAI_11000949,0911Suyuti.HusnMuhadara,0808IbnCimadDinShihabDinAqfahsi.AkhbarNilMisr|0911Suyuti.HusnMuhadara|1331JurjiZaydan.CabdRahmanNasir|1377MuhammadCabdAllahDarraz.Din,0.8,100.00,True,3,795.0
OAI_11000949,0911Suyuti.HusnMuhadara,0911Suyuti.HusnMuhadara|1377MuhammadCabdAllahDarraz.Din,0.85,100.00,True,1,734.4
OAI_11000949,0911Suyuti.HusnMuhadara,0911Suyuti.HusnMuhadara|1377MuhammadCabdAllahDarraz.Din,0.9,100.00,True,1,745.8
