uri,record,gallica_url,title_lat,creator_lat,uris_for_record
0400AbuQasimZahrawi.Tasrif,OAI_10032052,http://gallica.bnf.fr/ark:/12148/btv1b100320527,"['Le quatrième tome, contenant les makalas 16-23, du Kitab al-tasrif li-man ʿadjaza min al-taʾlif, traité de médecine, par Aboul-Qāsim Khalaf ibn Abbas al-Zahrawi.']","['Aboul-Qāsim Khalaf ibn ʿAbbas al-Andalousi al-Zahrawi', 'Khalaf ibn ʿAbbas al-Andalousi al-Zahrawi (Aboul-Qāsim)']",1
0400AbuQasimZahrawi.Tasrif,OAI_11001775,http://gallica.bnf.fr/ark:/12148/btv1b110017751,[],"['al-Zahrāwī, H̱alaf ibn ʿAbbās Abū al-Qāsim']",1
1341IsmacilSabri.Diwan,OAI_08406177,http://gallica.bnf.fr/ark:/12148/btv1b8406177t,"[""ISMĀʿĪL al-Ğazarī (Abū al-ʿIzz), Kitāb fī ma 'rifat al-ḥiyal al-handasiyya.""]","['Ǧazarī, Ismāʿīl ibn al-Razzāz al-']",2
1341IsmacilSabri.Diwan,OAI_10030233,http://gallica.bnf.fr/ark:/12148/btv1b10030233x,['Mağmūʿ'],"['Zağğāğ, Ṣāliḥ al-', 'Nābulusī, Yūsuf al-']",10
1341IsmacilSabri.Diwan,OAI_10030241,http://gallica.bnf.fr/ark:/12148/btv1b10030241f,"[""Abū al-Farağ ʿAbd al-Raḥmān ibn al-Ğawzī . Kitāb fī aḫbār al-aḏkiyā' allaḏīn qawiyat fiṭanuhum.""]",[],6
1341IsmacilSabri.Diwan,OAI_10030350,http://gallica.bnf.fr/ark:/12148/btv1b10030350s,['Ismāʿīl al-Ḫaššāb. Hāḏā al-tārīḫ al-musalsal fī ḥawādiṯ al-zamān wa waqā’iʿ al-dīwān'],"['Khashashâb, Ismaïl El- (17..?-1815)']",3
1341IsmacilSabri.Diwan,OAI_10884731,http://gallica.bnf.fr/ark:/12148/btv1b108847312,"[""ISMĀʿĪL al-Ğazarī (Abū al-ʿIzz), Kitāb fī ma 'rifat al-ḥiyal al-handasiyya.""]","['Ǧazarī, Ismāʿīl ibn al-Razzāz al-']",2
1341IsmacilSabri.Diwan,OAI_53273607,http://gallica.bnf.fr/ark:/12148/btv1b53273607c,['Ismāʿīl al-Ḫaššāb. Hāḏā al-tārīḫ al-musalsal fī ḥawādiṯ al-zamān wa waqā’iʿ al-dīwān'],"['Khashashâb, Ismaïl El- (17..?-1815)']",3
0180IbnJacfarAnsari.HadithIsmacil,OAI_08406177,http://gallica.bnf.fr/ark:/12148/btv1b8406177t,"[""ISMĀʿĪL al-Ğazarī (Abū al-ʿIzz), Kitāb fī ma 'rifat al-ḥiyal al-handasiyya.""]","['Ǧazarī, Ismāʿīl ibn al-Razzāz al-']",2
0180IbnJacfarAnsari.HadithIsmacil,OAI_10030241,http://gallica.bnf.fr/ark:/12148/btv1b10030241f,"[""Abū al-Farağ ʿAbd al-Raḥmān ibn al-Ğawzī . Kitāb fī aḫbār al-aḏkiyā' allaḏīn qawiyat fiṭanuhum.""]",[],6
