BNF OAI_11000434 candidates:
Latin count: 2
Arabic count: 0
  MATCH 0182AbuYusufYacqub.IkhtilafAbiHanifa (lat): score=39
  MATCH 0182AbuYusufYacqub.Kharaj (lat): score=16
  MATCH 0182AbuYusufYacqub.Kharaj (lat): score=12
  MATCH 0182AbuYusufYacqub.RaddCalaSiyarAwzaci (lat): score=47
  MATCH 0182AbuYusufYacqub.RaddCalaSiyarAwzaci (lat): score=43
  MATCH 0182MarwanIbnAbiHafsa.Diwan (lat): score=11
  MATCH 0182MarwanIbnAbiHafsa.Diwan (lat): score=12
  MATCH 0183AbuHayyaNumayri.Shicr (lat): score=17
  MATCH 0183AbuHayyaNumayri.Shicr (lat): score=12
  MATCH 0184AbuIshaqZuhri.JuzMinNuskha (lat): score=27
  MATCH 0184AbuIshaqZuhri.JuzMinNuskha (lat): score=17
  MATCH 0185IbnCimranMawsili.Zuhd (lat): score=11
  MATCH 0185IbnCimranMawsili.Zuhd (lat): score=4
  MATCH 0188IbnMuhammadFazari.Siyar (lat): score=17
  MATCH 0188IbnMuhammadFazari.Siyar (lat): score=12
  MATCH 0189IbnHamzaKisai.MushtabihatQuran (lat): score=29
  MATCH 0189IbnHamzaKisai.MushtabihatQuran (lat): score=23
  MATCH 0189MuhammadShaybani.Asl (lat): score=44
  MATCH 0189MuhammadShaybani.Asl (lat): score=44
  MATCH 0189MuhammadShaybani.Athar (lat): score=22
  MATCH 0189MuhammadShaybani.Athar (lat): score=12
  MATCH 0189MuhammadShaybani.HujjaCalaAhlMadina (lat): score=54
  MATCH 0189MuhammadShaybani.HujjaCalaAhlMadina (lat): score=37
  MATCH 0189MuhammadShaybani.JamicSaghir (lat): score=40
  MATCH 0189MuhammadShaybani.JamicSaghir (lat): score=27
  MATCH 0189MuhammadShaybani.Kasb (lat): score=11
  MATCH 0189MuhammadShaybani.Kasb (lat): score=8
  MATCH 0189MuhammadShaybani.MakharijFiHiyal (lat): score=33
  MATCH 0189MuhammadShaybani.MakharijFiHiyal (lat): score=26
  MATCH 0189MuhammadShaybani.Siyar (lat): score=17
  MATCH 0189MuhammadShaybani.Siyar (lat): score=12
  MATCH 0189MuhammadShaybani.SiyarSaghir (lat): score=28
  MATCH 0189MuhammadShaybani.SiyarSaghir (lat): score=21
  MATCH 0191IbnQasimMisri.MajalisIbnQasim (lat): score=42
  MATCH 0191IbnQasimMisri.MajalisIbnQasim (lat): score=26
  MATCH 0192IbnAhnaf.Diwan (lat): score=11
  MATCH 0192IbnAhnaf.Diwan (lat): score=12
  MATCH 0195IbnFudaylDabbi.Duca (lat): score=17
  MATCH 0195IbnFudaylDabbi.Duca (lat): score=8
  MATCH 0195MuarrijSadusi.Amthal (lat): score=16
  MATCH 0195MuarrijSadusi.Amthal (lat): score=16
  MATCH 0195MuarrijSadusi.HadhfMinNasabQuraysh (lat): score=31
  MATCH 0195MuarrijSadusi.HadhfMinNasabQuraysh (lat): score=27
  MATCH 0197IbnWahbQurashi.JamicFiHadith (lat): score=30
  MATCH 0197IbnWahbQurashi.JamicFiHadith (lat): score=23
  MATCH 0197IbnWahbQurashi.MuharabaMinMuwattaIbnWahb (lat): score=40
  MATCH 0197IbnWahbQurashi.MuharabaMinMuwattaIbnWahb (lat): score=35
  MATCH 0197IbnWahbQurashi.Musnad (lat): score=16
  MATCH 0197IbnWahbQurashi.Musnad (lat): score=12
  MATCH 0197IbnWahbQurashi.MuwattaIbnWahb (lat): score=43
  MATCH 0197IbnWahbQurashi.MuwattaIbnWahb (lat): score=30
  MATCH 0197IbnWahbQurashi.QadaMinMuwattaIbnWahb (lat): score=43
  MATCH 0197IbnWahbQurashi.QadaMinMuwattaIbnWahb (lat): score=31
  MATCH 0197IbnWahbQurashi.Qadar (lat): score=22
  MATCH 0197IbnWahbQurashi.Qadar (lat): score=12
  MATCH 0197IbnWahbQurashi.TafsirQuran (lat): score=23
  MATCH 0197IbnWahbQurashi.TafsirQuran (lat): score=25
  MATCH 0197WakicIbnJarrah.NuskhatWakic (lat): score=18
  MATCH 0197WakicIbnJarrah.NuskhatWakic (lat): score=28
  MATCH 0197WakicIbnJarrah.Zuhd (lat): score=11
  MATCH 0197WakicIbnJarrah.Zuhd (lat): score=4
  MATCH 0198AbuNuwasShacir.Diwan (lat): score=11
  MATCH 0198AbuNuwasShacir.Diwan (lat): score=12
  MATCH 0198RabicaRaqqi.Diwan (lat): score=11
  MATCH 0198RabicaRaqqi.Diwan (lat): score=12
  MATCH 0198SufyanIbnCuyayna.JuzFihiHadith (lat): score=30
  MATCH 0198SufyanIbnCuyayna.JuzFihiHadith (lat): score=17
  MATCH 0198SufyanIbnCuyayna.JuzHadith (lat): score=24
  MATCH 0198SufyanIbnCuyayna.JuzHadith (lat): score=15
  MATCH 0200AbuGhanimKhurasani.MudawwanaKubra (lat): score=26
  MATCH 0200AbuGhanimKhurasani.MudawwanaKubra (lat): score=23
  MATCH 0200AbuGhanimKhurasani.MudawwanaSughra (lat): score=30
  MATCH 0200AbuGhanimKhurasani.MudawwanaSughra (lat): score=23
  MATCH 0200AbuShis.Diwan (lat): score=11
  MATCH 0200AbuShis.Diwan (lat): score=12
  MATCH 0200Anonymous.AshbahWaAzilla (lat): score=43
  MATCH 0200Anonymous.AshbahWaAzilla (lat): score=43
  MATCH 0200IbnJacfarSadiq.Masail (lat): score=16
  MATCH 0200IbnJacfarSadiq.Masail (lat): score=20
  MATCH 0200SayfIbnCumar.Fitna (lat): score=17
  MATCH 0200SayfIbnCumar.Fitna (lat): score=16
  MATCH 0200YahyaIbnBitriq.FusulAbuqrat (lat): score=42
  MATCH 0200YahyaIbnBitriq.FusulAbuqrat (lat): score=42
  MATCH 0200YahyaIbnBitriq.GhidhaLiAbuqrat (lat): score=39
  MATCH 0200YahyaIbnBitriq.GhidhaLiAbuqrat (lat): score=37
  MATCH 0200YahyaIbnBitriq.SirrAsrar (lat): score=42
  MATCH 0200YahyaIbnBitriq.SirrAsrar (lat): score=47
  MATCH 0200YahyaIbnBitriq.Thulujiya (lat): score=27
  MATCH 0200YahyaIbnBitriq.Thulujiya (lat): score=35
  MATCH 0200YahyaIbnSallam.Tafsir (lat): score=16
  MATCH 0200YahyaIbnSallam.Tafsir (lat): score=12
  MATCH 0200YahyaIbnSallam.Tasarif (lat): score=16
  MATCH 0200YahyaIbnSallam.Tasarif (lat): score=15
  MATCH 0201CaliIbnCasim.Hadith (lat): score=16
